Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.377m/s, acc_y=-0.370m/s, acc_z=10.092m/s, gyrv_x=-0.017°/s, gyrv_y=0.026°/s, gyrv_z=0.385°/s, time=7500.183
acc_x=-0.379m/s, acc_y=-0.358m/s, acc_z=10.082m/s, gyrv_x=0.052°/s, gyrv_y=0.035°/s, gyrv_z=0.297°/s, time=7500.184
acc_x=-0.382m/s, acc_y=-0.362m/s, acc_z=10.068m/s, gyrv_x=0.052°/s, gyrv_y=0.035°/s, gyrv_z=0.297°/s, time=7500.186
acc_x=-0.382m/s, acc_y=-0.328m/s, acc_z=10.068m/s, gyrv_x=-0.157°/s, gyrv_y=0.131°/s, gyrv_z=0.052°/s, time=7500.187
acc_x=-0.364m/s, acc_y=-0.342m/s, acc_z=10.067m/s, gyrv_x=-0.236°/s, gyrv_y=0.096°/s, gyrv_z=0.332°/s, time=7500.188
acc_x=-0.368m/s, acc_y=-0.322m/s, acc_z=10.086m/s, gyrv_x=-0.079°/s, gyrv_y=0.289°/s, gyrv_z=0.219°/s, time=7500.189
acc_x=-0.378m/s, acc_y=-0.329m/s, acc_z=10.039m/s, gyrv_x=-0.280°/s, gyrv_y=0.359°/s, gyrv_z=0.332°/s, time=7500.190
acc_x=-0.373m/s, acc_y=-0.337m/s, acc_z=10.051m/s, gyrv_x=0.087°/s, gyrv_y=0.306°/s, gyrv_z=0.604°/s, time=7500.192
acc_x=-0.366m/s, acc_y=-0.335m/s, acc_z=10.043m/s, gyrv_x=0.009°/s, gyrv_y=0.402°/s, gyrv_z=0.175°/s, time=7500.193
acc_x=-0.361m/s, acc_y=-0.309m/s, acc_z=10.051m/s, gyrv_x=-0.140°/s, gyrv_y=0.429°/s, gyrv_z=0.315°/s, time=7500.194
acc_x=-0.342m/s, acc_y=-0.348m/s, acc_z=10.073m/s, gyrv_x=-0.192°/s, gyrv_y=0.332°/s, gyrv_z=0.131°/s, time=7500.195
acc_x=-0.368m/s, acc_y=-0.329m/s, acc_z=10.044m/s, gyrv_x=0.175°/s, gyrv_y=0.560°/s, gyrv_z=0.192°/s, time=7500.196
acc_x=-0.332m/s, acc_y=-0.329m/s, acc_z=10.074m/s, gyrv_x=0.140°/s, gyrv_y=0.700°/s, gyrv_z=0.184°/s, time=7500.198
acc_x=-0.322m/s, acc_y=-0.349m/s, acc_z=10.050m/s, gyrv_x=0.192°/s, gyrv_y=0.604°/s, gyrv_z=0.009°/s, time=7500.199
acc_x=-0.331m/s, acc_y=-0.352m/s, acc_z=10.067m/s, gyrv_x=-0.157°/s, gyrv_y=0.560°/s, gyrv_z=0.201°/s, time=7500.200
acc_x=-0.316m/s, acc_y=-0.355m/s, acc_z=10.072m/s, gyrv_x=-0.236°/s, gyrv_y=0.551°/s, gyrv_z=0.262°/s, time=7500.201
