Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=-2.112m/s, acc_y=-9.855m/s, acc_z=1.953m/s, gyrv_x=82.390°/s, gyrv_y=-47.232°/s, gyrv_z=-88.305°/s, time=7066.035
acc_x=-1.184m/s, acc_y=-2.317m/s, acc_z=5.257m/s, gyrv_x=99.024°/s, gyrv_y=-15.584°/s, gyrv_z=-94.465°/s, time=7066.096
acc_x=-4.650m/s, acc_y=2.272m/s, acc_z=12.267m/s, gyrv_x=-20.729°/s, gyrv_y=-17.762°/s, gyrv_z=27.125°/s, time=7066.153
acc_x=0.993m/s, acc_y=5.976m/s, acc_z=8.141m/s, gyrv_x=79.879°/s, gyrv_y=34.632°/s, gyrv_z=-95.357°/s, time=7066.208
acc_x=1.414m/s, acc_y=-2.167m/s, acc_z=19.600m/s, gyrv_x=94.465°/s, gyrv_y=-29.496°/s, gyrv_z=-161.000°/s, time=7066.264
acc_x=8.434m/s, acc_y=1.618m/s, acc_z=9.543m/s, gyrv_x=-36.514°/s, gyrv_y=-14.586°/s, gyrv_z=-71.662°/s, time=7066.320
acc_x=3.973m/s, acc_y=1.647m/s, acc_z=7.975m/s, gyrv_x=-8.724°/s, gyrv_y=-51.677°/s, gyrv_z=-127.522°/s, time=7066.369
acc_x=1.027m/s, acc_y=-7.831m/s, acc_z=6.202m/s, gyrv_x=93.660°/s, gyrv_y=-51.555°/s, gyrv_z=-150.132°/s, time=7066.425
acc_x=-5.958m/s, acc_y=-6.386m/s, acc_z=10.380m/s, gyrv_x=-24.701°/s, gyrv_y=-63.070°/s, gyrv_z=21.997°/s, time=7066.485
acc_x=0.773m/s, acc_y=-0.695m/s, acc_z=10.241m/s, gyrv_x=75.302°/s, gyrv_y=32.226°/s, gyrv_z=-53.681°/s, time=7066.539
acc_x=-19.500m/s, acc_y=-1.295m/s, acc_z=11.308m/s, gyrv_x=42.709°/s, gyrv_y=34.431°/s, gyrv_z=-141.505°/s, time=7066.594
acc_x=4.021m/s, acc_y=2.521m/s, acc_z=11.192m/s, gyrv_x=91.271°/s, gyrv_y=-42.910°/s, gyrv_z=-87.666°/s, time=7066.653
acc_x=4.375m/s, acc_y=-7.948m/s, acc_z=8.227m/s, gyrv_x=59.456°/s, gyrv_y=-29.076°/s, gyrv_z=3.684°/s, time=7066.710
acc_x=0.005m/s, acc_y=1.602m/s, acc_z=7.898m/s, gyrv_x=75.259°/s, gyrv_y=-67.777°/s, gyrv_z=-147.096°/s, time=7066.767
acc_x=8.496m/s, acc_y=-5.689m/s, acc_z=5.438m/s, gyrv_x=64.951°/s, gyrv_y=-49.962°/s, gyrv_z=-105.437°/s, time=7066.823
acc_x=5.206m/s, acc_y=-0.823m/s, acc_z=6.672m/s, gyrv_x=57.654°/s, gyrv_y=-54.775°/s, gyrv_z=-50.216°/s, time=7066.882
acc_x=-13.138m/s, acc_y=-7.595m/s, acc_z=9.498m/s, gyrv_x=-25.121°/s, gyrv_y=-17.894°/s, gyrv_z=24.867°/s, time=7066.938
acc_x=-1.086m/s, acc_y=5.484m/s, acc_z=9.361m/s, gyrv_x=-18.077°/s, gyrv_y=-13.011°/s, gyrv_z=12.259°/s, time=7066.987
acc_x=0.946m/s, acc_y=-4.366m/s, acc_z=18.867m/s, gyrv_x=49.849°/s, gyrv_y=39.217°/s, gyrv_z=-58.616°/s, time=7067.036
acc_x=8.391m/s, acc_y=-10.551m/s, acc_z=19.600m/s, gyrv_x=50.129°/s, gyrv_y=27.589°/s, gyrv_z=-52.281°/s, time=7067.083
acc_x=-4.638m/s, acc_y=-1.437m/s, acc_z=6.586m/s, gyrv_x=54.171°/s, gyrv_y=-36.059°/s, gyrv_z=-52.841°/s, time=7067.130
acc_x=1.457m/s, acc_y=-0.054m/s, acc_z=18.789m/s, gyrv_x=43.934°/s, gyrv_y=29.094°/s, gyrv_z=-35.560°/s, time=7067.182
acc_x=5.907m/s, acc_y=-2.455m/s, acc_z=10.104m/s, gyrv_x=39.209°/s, gyrv_y=-16.144°/s, gyrv_z=-17.824°/s, time=7067.229
acc_x=1.937m/s, acc_y=3.930m/s, acc_z=13.290m/s, gyrv_x=63.726°/s, gyrv_y=-16.126°/s, gyrv_z=10.185°/s, time=7067.276
acc_x=-10.664m/s, acc_y=-4.797m/s, acc_z=9.425m/s, gyrv_x=-30.354°/s, gyrv_y=29.584°/s, gyrv_z=19.372°/s, time=7067.323
acc_x=-3.194m/s, acc_y=1.257m/s, acc_z=6.378m/s, gyrv_x=73.404°/s, gyrv_y=-19.635°/s, gyrv_z=12.696°/s, time=7067.370
